Fre	ExpectedRatio	Count
0.05	0.3885899021	1215
0.0583333333	0.3996562739	999
0.0666666667	0.4138019847	915
0.075	0.4378213112	812
0.0833333333	0.4416100674	726
0.0916666667	0.4645420456	621
0.1	0.4890369503	602
0.1083333333	0.5138160780	604
0.1166666667	0.5226944131	402
0.125	0.5405616225	395
0.1333333333	0.5497368676	400
0.1416666667	0.5723292895	367
0.15	0.5897352561	375
0.1583333333	0.6156932679	302
0.1666666667	0.6206371691	307
0.175	0.6544338828	275
0.1833333333	0.6592683300	271
0.1916666667	0.6749696440	246
0.2	0.6979521804	254
0.2083333333	0.7119738803	201
0.2166666667	0.7109073963	205
0.225	0.7399100626	207
0.2333333333	0.7694553403	197
0.2416666667	0.7959501325	200
0.25	0.8053504021	165
0.2583333333	0.8027090991	179
0.2666666667	0.8401690323	180
0.275	0.8288170831	173
0.2833333333	0.8628163240	153
0.2916666667	0.9248939770	146
0.3	0.9046265368	134
0.3083333333	0.9330002457	118
0.3166666667	0.9644606128	117
0.325	0.9826766134	132
0.3333333333	0.9764798893	100
0.3416666667	1.0166004209	115
0.35	1.0366831161	119
0.3583333333	1.0683287165	112
0.3666666667	1.0955467491	104
0.375	1.0471783794	139
0.3833333333	1.0687332839	107
0.3916666667	1.1249683784	112
0.4	1.1059151440	102
0.4083333333	1.1620205064	110
0.4166666667	1.1882835651	96
0.425	1.1944987224	73
0.4333333333	1.2158498436	85
0.4416666667	1.2306959009	78
0.45	1.3172650551	81
0.4583333333	1.3224557819	72
0.4666666667	1.3261520342	79
0.475	1.3332200702	103
0.4833333333	1.3916811092	69
0.4916666667	1.3497036410	74
0.5	0.4800196989	71
0.5083333333	0.4798026930	74
0.5166666667	0.4893205565	86
0.525	0.5193818583	78
0.5333333333	0.5116022099	57
0.5416666667	0.5476235633	68
0.55	0.5092776183	85
0.5583333333	0.5412215608	63
0.5666666667	0.5654190556	81
0.575	0.5772673218	42
0.5833333333	0.5492014918	54
0.5916666667	0.5901771337	79
0.6	0.5937368936	57
0.6083333333	0.6355242911	62
0.6166666667	0.6360571202	55
0.625	0.6224986479	55
0.6333333333	0.6455485612	61
0.6416666667	0.6338028169	58
0.65	0.6746678575	50
0.6583333333	0.6800000000	56
0.6666666667	0.7096723128	54
0.675	0.6920657302	52
0.6833333333	0.7278373800	51
0.6916666667	0.7224505774	44
0.7	0.7232924694	41
0.7083333333	0.7835341579	56
0.7166666667	0.7755796984	73
0.725	0.7893511784	41
0.7333333333	0.7876247228	43
0.7416666667	0.7981627468	46
0.75	0.8610421836	55
0.7583333333	0.8267094545	37
0.7666666667	0.8689581096	58
0.775	0.8722574354	32
0.7833333333	0.9132972323	53
0.7916666667	0.8877499239	31
0.8	0.8770160203	58
0.8083333333	0.9488112252	50
0.8166666667	0.9717384160	30
0.825	0.9669742593	54
0.8333333333	1.0366927988	42
0.8416666667	0.9990995047	37
0.85	1.0164839561	42
0.8583333333	1.0457128425	54
0.8666666667	1.0681731137	45
0.875	1.1116138763	42
0.8833333333	1.0979124722	33
0.8916666667	1.2174587922	50
0.9	1.2217640128	44
0.9083333333	1.2959183673	42
0.9166666667	1.3009550241	47
0.925	1.2368932039	48
0.9333333333	1.2742656017	56
0.9416666667	1.2636484687	34
0.95	1.4423337856	42
