Fre_end	Mean	SD.
0.05	-0.0111728071	0.1503143826
0.06	-0.0117042354	0.153914443
0.07	-0.0119474557	0.1555408665
0.08	-0.0121449281	0.1558833834
0.09	-0.013424928	0.163156773
0.1	-0.0131090985	0.1614803146
0.11	-0.0127380615	0.1603126438
0.12	-0.0134781485	0.1641028041
0.13	-0.0136179829	0.1631157265
0.14	-0.0131574694	0.1616206758
0.15	-0.0155226611	0.1773255919
0.16	-0.0136186662	0.1646687089
0.17	-0.0117671308	0.1537358277
0.18	-0.0142675252	0.1697709769
0.19	-0.0196066749	0.2043285721
0.2	-0.0164499312	0.1819442406
0.21	-0.0163776385	0.1825946464
0.22	-0.0139683633	0.1685793716
0.23	-0.0144007778	0.1713956248
0.24	-0.0163138685	0.1809328866
0.25	-0.0172474695	0.1839178683
0.26	-0.0171776699	0.1849244491
0.27	-0.014829557	0.1742883284
0.28	-0.0129032688	0.1602972394
0.29	-0.0134683153	0.1685055571
0.3	-0.0141867608	0.1694465409
0.31	-0.0251584054	0.2389875099
0.32	-0.0111379904	0.1474235354
0.33	-0.0139818722	0.1674389816
0.34	-0.0158412085	0.1779414053
0.35	-0.0143159674	0.1690555095
0.36	-0.0160295595	0.1838363387
0.37	-0.0164218747	0.1824152744
0.38	-0.0209118189	0.2142408005
0.39	-0.0136910392	0.1694507397
0.4	-0.0156333285	0.1807469963
0.41	-0.0233332369	0.2225361433
0.42	-0.0173135978	0.1867794862
0.43	-0.0171619976	0.1907541356
0.44	-0.0112766107	0.1534022652
0.45	-0.0177483915	0.1925510041
0.46	-0.0129676444	0.1654313398
0.47	-0.0164186131	0.1883231974
0.48	-0.0205355677	0.2095695007
0.49	-0.0138856036	0.1695458264
0.5	-0.0251861851	0.2351547197
0.51	-0.0189452424	0.1963460839
0.52	-0.0220588775	0.2254618339
0.53	-0.0166163257	0.1857185667
0.54	-0.0272468632	0.2562744408
0.55	-0.0386595244	0.3051382214
0.56	-0.0202881146	0.2136444014
0.57	-0.0199986503	0.2072737502
0.58	-0.0123882751	0.1586659308
0.59	-0.0239426342	0.2327291185
0.6	-0.0206831499	0.2049648662
0.61	-0.0197087229	0.205154975
0.62	-0.0113654388	0.1529941189
0.63	-0.0101625716	0.1430812525
0.64	-0.0096833203	0.1414366698
0.65	-0.0146988066	0.175810967
0.66	-0.0122650392	0.1589710424
0.67	-0.0099333772	0.1434711342
0.68	-0.0128751416	0.1635050111
0.69	-0.0126564198	0.1638169566
0.7	-0.0130989187	0.1641822372
0.71	-0.0082053082	0.1293787914
0.72	-0.0056009619	0.1067023384
0.73	-0.0101590979	0.1450577915
0.74	-0.0102370794	0.1450173468
0.75	-0.0162726998	0.1837536102
0.76	-0.0069903246	0.1214074327
0.77	-0.0107895262	0.1489809241
0.78	-0.007004862	0.1215415892
0.79	-0.0101415266	0.1479281389
0.8	-0.0127346529	0.1611842459
0.81	-0.0105036602	0.145681257
0.82	-0.025444913	0.2236945792
0.83	-0.0057976699	0.107854072
0.84	-0.0092870732	0.1387672512
0.85	-0.0084262533	0.131366256
0.86	-0.0103470848	0.1459234464
0.87	-0.0099300762	0.1429005767
0.88	-0.0144181228	0.1739463048
0.89	-0.0149429884	0.1737125504
0.9	-0.0116823648	0.154663695
0.91	-0.0104702013	0.1477793832
0.92	-0.0171613857	0.1865380655
0.93	-0.0135091395	0.1664294838
0.94	-0.0177176433	0.1882461134
0.95	-0.0097387768	0.1406176524
